## General
Open Cheatsheet | <C-/>
LSP Reformat    | <leader>F

## LSP
Go Definition      | gd
Hover              | K
Next Diagnostic    | [d
Prev Diagnostic    | ]d
Rename             | <leader>vrn
References         | <leader>vrr
Code Action        | <leader>vca
(i)Signature Help  | <C-h>

## Telescope
Find sessions   | <leader>fs
Find vim config | <leader>fv
Find files      | <leader>ff
Find grep       | <leader>fg
Find browser    | <leader>fb
Find help       | <leader>fh

## Trouble
Trouble Toggle            | <leader>xx
Trouble Toggle Document   | <leader>xd
Trouble Toggle Workspace  | <leader>xw
Trouble Toggle Locations  | <leader>xl
Trouble Toggle Quickfix   | <leader>xq
Trouble References        | gR

## Undotree
Undo Toggle            | <leader>u

## NVim Tree
Toggle Tree            | <leader>t
